AdoptID,Date,CityID,ShelterIntake,Adoptions,City,State
1,2025-01-01,1,0,0,New Delhi,Delhi
2,2025-01-02,1,1,1,New Delhi,Delhi
3,2025-01-03,1,0,0,New Delhi,Delhi
4,2025-01-04,1,1,1,New Delhi,Delhi
5,2025-01-05,1,0,0,New Delhi,Delhi
6,2025-01-06,1,1,1,New Delhi,Delhi
7,2025-01-07,1,1,1,New Delhi,Delhi
8,2025-01-08,1,1,1,New Delhi,Delhi
9,2025-01-09,1,0,0,New Delhi,Delhi
10,2025-01-10,1,0,0,New Delhi,Delhi
11,2025-01-11,1,0,0,New Delhi,Delhi
12,2025-01-12,1,0,0,New Delhi,Delhi
13,2025-01-13,1,1,1,New Delhi,Delhi
14,2025-01-14,1,0,0,New Delhi,Delhi
15,2025-01-15,1,1,1,New Delhi,Delhi
16,2025-01-16,1,1,1,New Delhi,Delhi
17,2025-01-17,1,0,0,New Delhi,Delhi
18,2025-01-18,1,0,0,New Delhi,Delhi
19,2025-01-19,1,1,1,New Delhi,Delhi
20,2025-01-20,1,1,1,New Delhi,Delhi
21,2025-01-21,1,1,1,New Delhi,Delhi
22,2025-01-22,1,0,0,New Delhi,Delhi
23,2025-01-23,1,0,0,New Delhi,Delhi
24,2025-01-24,1,0,0,New Delhi,Delhi
25,2025-01-25,1,0,0,New Delhi,Delhi
26,2025-01-26,1,0,0,New Delhi,Delhi
27,2025-01-27,1,0,0,New Delhi,Delhi
28,2025-01-28,1,1,1,New Delhi,Delhi
29,2025-01-29,1,0,0,New Delhi,Delhi
30,2025-01-30,1,1,1,New Delhi,Delhi
31,2025-01-31,1,1,1,New Delhi,Delhi
32,2025-02-01,1,0,0,New Delhi,Delhi
33,2025-02-02,1,0,0,New Delhi,Delhi
34,2025-02-03,1,0,0,New Delhi,Delhi
35,2025-02-04,1,0,0,New Delhi,Delhi
36,2025-02-05,1,0,0,New Delhi,Delhi
37,2025-02-06,1,0,0,New Delhi,Delhi
38,2025-02-07,1,0,0,New Delhi,Delhi
39,2025-02-08,1,0,0,New Delhi,Delhi
40,2025-02-09,1,0,0,New Delhi,Delhi
41,2025-02-10,1,1,1,New Delhi,Delhi
42,2025-02-11,1,0,0,New Delhi,Delhi
43,2025-02-12,1,0,0,New Delhi,Delhi
44,2025-02-13,1,0,0,New Delhi,Delhi
45,2025-02-14,1,0,0,New Delhi,Delhi
46,2025-02-15,1,1,1,New Delhi,Delhi
